"","jobTitle","location","skill","count"
"228","Mid-Level Data Scientist; Data Analyst","Sydney","Modelling","0"
"229","Mid-Level Data Scientist; Data Analyst","Sydney","(C++)","108"
"230","Mid-Level Data Scientist; Data Analyst","Sydney","Phd","0"
"231","Senior Data Scientist","Sydney","Python","1"
"232","Senior Data Scientist","Sydney","programming","0"
"233","Senior Data Scientist","Sydney","analytics","2"
"234","Senior Data Scientist","Sydney","mathematics","0"
"235","Senior Data Scientist","Sydney","machine learning","1"
"236","Senior Data Scientist","Sydney","team","1"
"237","Senior Data Scientist","Sydney","Cooperation","0"
"238","Senior Data Scientist","Sydney","statistics","0"
"239","Senior Data Scientist","Sydney","SQL","1"
"240","Senior Data Scientist","Sydney","communication","0"
"241","Senior Data Scientist","Sydney","big data","0"
"242","Senior Data Scientist","Sydney","design","0"
"243","Senior Data Scientist","Sydney","visualization","0"
"244","Senior Data Scientist","Sydney","Hadoop","0"
"245","Senior Data Scientist","Sydney","Java","0"
"246","Senior Data Scientist","Sydney","research","0"
"247","Senior Data Scientist","Sydney","creative","0"
"248","Senior Data Scientist","Sydney","MATLAB","0"
"249","Senior Data Scientist","Sydney","SAS","0"
"250","Senior Data Scientist","Sydney"," R ","0"
"251","Senior Data Scientist","Sydney","Modelling","0"
"252","Senior Data Scientist","Sydney","(C++)","103"
"253","Senior Data Scientist","Sydney","Phd","0"
"254","Data Scientist | Brisbane Based","Brisbane","Python","2"
"255","Data Scientist | Brisbane Based","Brisbane","programming","0"
"256","Data Scientist | Brisbane Based","Brisbane","analytics","6"
"257","Data Scientist | Brisbane Based","Brisbane","mathematics","0"
"258","Data Scientist | Brisbane Based","Brisbane","machine learning","1"
"259","Data Scientist | Brisbane Based","Brisbane","team","3"
"260","Data Scientist | Brisbane Based","Brisbane","Cooperation","0"
"261","Data Scientist | Brisbane Based","Brisbane","statistics","0"
"262","Data Scientist | Brisbane Based","Brisbane","SQL","2"
"263","Data Scientist | Brisbane Based","Brisbane","communication","1"
"264","Data Scientist | Brisbane Based","Brisbane","big data","0"
"265","Data Scientist | Brisbane Based","Brisbane","design","0"
"266","Data Scientist | Brisbane Based","Brisbane","visualization","0"
"267","Data Scientist | Brisbane Based","Brisbane","Hadoop","0"
"268","Data Scientist | Brisbane Based","Brisbane","Java","0"
"269","Data Scientist | Brisbane Based","Brisbane","research","0"
"270","Data Scientist | Brisbane Based","Brisbane","creative","0"
"271","Data Scientist | Brisbane Based","Brisbane","MATLAB","0"
"272","Data Scientist | Brisbane Based","Brisbane","SAS","1"
"273","Data Scientist | Brisbane Based","Brisbane"," R ","0"
"274","Data Scientist | Brisbane Based","Brisbane","Modelling","0"
"275","Data Scientist | Brisbane Based","Brisbane","(C++)","110"
